Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,January,SSP,Chandigarh,0.00,0.00,,,
2014-2015,January,DAP,Chattishgarh,0.00,2766.10,,,
2014-2015,January,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,January,MOP,Chattishgarh,0.00,15029.65,,,
2014-2015,January,NPK,Chattishgarh,0.00,6039.59,,,
2014-2015,January,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,January,UREA,Chattishgarh,0.00,1996.15,,,
2014-2015,January,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,January,DAP,Dadra & Nagar Haveli,0.00,29.35,,,
2014-2015,January,MAP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,January,MOP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,January,NPK,Dadra & Nagar Haveli,0.00,21.50,,,
2014-2015,January,TSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,January,UREA,Dadra & Nagar Haveli,0.00,23.40,,,
2014-2015,January,SSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,January,DAP,Daman & Diu,0.00,0.00,,,
2014-2015,January,MAP,Daman & Diu,0.00,0.00,,,
2014-2015,January,MOP,Daman & Diu,0.00,0.00,,,
2014-2015,January,NPK,Daman & Diu,0.00,0.00,,,
2014-2015,January,TSP,Daman & Diu,0.00,0.00,,,
2014-2015,January,UREA,Daman & Diu,0.00,0.00,,,
2014-2015,January,SSP,Daman & Diu,0.00,0.00,,,
2014-2015,January,DAP,Delhi,0.00,0.00,,,
2014-2015,January,MAP,Delhi,0.00,0.00,,,
2014-2015,January,MOP,Delhi,0.00,0.00,,,
2014-2015,January,NPK,Delhi,0.00,0.00,,,
2014-2015,January,TSP,Delhi,0.00,0.00,,,
2014-2015,January,UREA,Delhi,600.00,0.00,,,
2014-2015,January,SSP,Delhi,0.00,0.00,,,
2014-2015,January,DAP,Goa,0.00,29.20,,,
2014-2015,January,MAP,Goa,0.00,0.00,,,
2014-2015,January,MOP,Goa,0.00,0.00,,,
2014-2015,January,NPK,Goa,0.00,102.45,,,
2014-2015,January,TSP,Goa,0.00,0.00,,,
2014-2015,January,UREA,Goa,0.00,24.50,,,
2014-2015,January,SSP,Goa,0.00,0.00,,,
2014-2015,January,DAP,Gujarat,0.00,12740.88,,,
2014-2015,January,MAP,Gujarat,0.00,0.00,,,
2014-2015,January,MOP,Gujarat,0.00,3897.05,,,
2014-2015,January,NPK,Gujarat,0.00,20351.52,,,
2014-2015,January,TSP,Gujarat,0.00,6313.85,,,
2014-2015,January,UREA,Gujarat,0.00,4575.19,,,
2014-2015,January,SSP,Gujarat,0.00,0.00,,,
2014-2015,January,DAP,Harayana,0.00,3374.85,,,
2014-2015,January,MAP,Harayana,0.00,0.00,,,
2014-2015,January,MOP,Harayana,0.00,5654.50,,,
2014-2015,January,NPK,Harayana,0.00,157.15,,,
2014-2015,January,TSP,Harayana,0.00,0.00,,,
2014-2015,January,UREA,Harayana,0.00,1659.30,,,
2014-2015,January,SSP,Harayana,0.00,0.00,,,
2014-2015,January,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,January,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,January,MOP,Himachal Pradesh,0.00,1143.80,,,
2014-2015,January,NPK,Himachal Pradesh,0.00,528.00,,,
2014-2015,January,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,January,UREA,Himachal Pradesh,0.00,44.10,,,
2014-2015,January,SSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,January,DAP,Jammu & Kashmir,0.00,1348.80,,,
2014-2015,January,MAP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,January,MOP,Jammu & Kashmir,0.00,290.50,,,
2014-2015,January,NPK,Jammu & Kashmir,0.00,0.00,,,
2014-2015,January,TSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,January,UREA,Jammu & Kashmir,0.00,1888.00,,,
2014-2015,January,SSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,January,DAP,Jharkhand,0.00,48.70,,,
2014-2015,January,MAP,Jharkhand,0.00,0.00,,,
2014-2015,January,MOP,Jharkhand,0.00,0.00,,,
2014-2015,January,NPK,Jharkhand,0.00,37.30,,,
2014-2015,January,TSP,Jharkhand,0.00,0.00,,,
2014-2015,January,UREA,Jharkhand,0.00,2753.80,,,
2014-2015,January,SSP,Jharkhand,0.00,0.00,,,
2014-2015,January,DAP,Karnataka,28000.00,21341.18,,,
2014-2015,January,MAP,Karnataka,0.00,0.00,,,
2014-2015,January,MOP,Karnataka,20000.00,48341.20,,,
2014-2015,January,NPK,Karnataka,90000.00,67608.21,,,
2014-2015,January,TSP,Karnataka,0.00,11905.40,,,
2014-2015,January,UREA,Karnataka,100000.00,6325.38,,,
2014-2015,January,SSP,Karnataka,6100.00,0.00,,,
2014-2015,January,DAP,Kerala,0.00,5063.65,,,
2014-2015,January,MAP,Kerala,0.00,0.00,,,
2014-2015,January,MOP,Kerala,0.00,5587.66,,,
2014-2015,January,NPK,Kerala,0.00,12171.14,,,
2014-2015,January,TSP,Kerala,0.00,3156.75,,,
2014-2015,January,UREA,Kerala,0.00,30.85,,,
2014-2015,January,SSP,Kerala,0.00,0.00,,,
2014-2015,January,DAP,Lakshadweep,0.00,0.00,,,
2014-2015,January,MAP,Lakshadweep,0.00,0.00,,,
2014-2015,January,MOP,Lakshadweep,0.00,0.00,,,
2014-2015,January,NPK,Lakshadweep,0.00,0.00,,,
2014-2015,January,TSP,Lakshadweep,0.00,0.00,,,
2014-2015,January,UREA,Lakshadweep,0.00,0.00,,,
2014-2015,January,SSP,Lakshadweep,0.00,0.00,,,
2014-2015,January,DAP,Madhya Pradesh,0.00,13150.92,,,
2014-2015,January,MAP,Madhya Pradesh,0.00,0.00,,,
2014-2015,January,MOP,Madhya Pradesh,0.00,16843.45,,,
2014-2015,January,NPK,Madhya Pradesh,0.00,7227.97,,,
2014-2015,January,TSP,Madhya Pradesh,0.00,8443.85,,,
2014-2015,January,UREA,Madhya Pradesh,0.00,21121.30,,,
2014-2015,January,SSP,Madhya Pradesh,0.00,0.00,,,
2014-2015,January,DAP,Maharastra,52500.00,2085.22,,,
2014-2015,January,MAP,Maharastra,0.00,0.00,,,
2014-2015,January,MOP,Maharastra,30000.00,49641.32,,,
2014-2015,January,NPK,Maharastra,150400.00,69303.43,,,
2014-2015,January,TSP,Maharastra,0.00,0.00,,,
2014-2015,January,UREA,Maharastra,172900.00,14257.74,,,
2014-2015,January,SSP,Maharastra,0.00,0.00,,,
2014-2015,January,DAP,Manipur,0.00,0.00,,,
2014-2015,January,MAP,Manipur,0.00,0.00,,,
2014-2015,January,MOP,Manipur,0.00,0.00,,,
2014-2015,January,NPK,Manipur,0.00,0.00,,,
2014-2015,January,TSP,Manipur,0.00,0.00,,,
2014-2015,January,UREA,Manipur,0.00,0.00,,,
2014-2015,January,SSP,Manipur,0.00,0.00,,,
2014-2015,January,DAP,Megalaya,0.00,0.00,,,
2014-2015,January,MAP,Megalaya,0.00,0.00,,,
2014-2015,January,MOP,Megalaya,0.00,0.00,,,
2014-2015,January,NPK,Megalaya,0.00,0.00,,,
2014-2015,January,TSP,Megalaya,0.00,0.00,,,
2014-2015,January,UREA,Megalaya,0.00,0.00,,,
2014-2015,January,SSP,Megalaya,0.00,0.00,,,
2014-2015,January,DAP,Mizoram,0.00,0.00,,,
2014-2015,January,MAP,Mizoram,0.00,0.00,,,
2014-2015,January,MOP,Mizoram,0.00,0.00,,,
2014-2015,January,NPK,Mizoram,0.00,0.00,,,
2014-2015,January,TSP,Mizoram,0.00,0.00,,,
2014-2015,January,UREA,Mizoram,0.00,0.00,,,
2014-2015,January,SSP,Mizoram,0.00,0.00,,,
2014-2015,January,DAP,Nagaland,0.00,0.00,,,
2014-2015,January,MAP,Nagaland,0.00,0.00,,,
2014-2015,January,MOP,Nagaland,0.00,0.00,,,
2014-2015,January,NPK,Nagaland,0.00,0.00,,,
2014-2015,January,TSP,Nagaland,0.00,0.00,,,
2014-2015,January,UREA,Nagaland,0.00,0.00,,,
2014-2015,January,SSP,Nagaland,0.00,0.00,,,
2014-2015,January,DAP,Orissa,0.00,9010.95,,,
2014-2015,January,MAP,Orissa,0.00,0.00,,,
2014-2015,January,MOP,Orissa,0.00,10636.45,,,
2014-2015,January,NPK,Orissa,0.00,12761.80,,,
2014-2015,January,TSP,Orissa,0.00,0.00,,,
2014-2015,January,UREA,Orissa,0.00,9171.60,,,
2014-2015,January,SSP,Orissa,0.00,0.00,,,
2014-2015,January,DAP,Pondicherry,0.00,74.00,,,
2014-2015,January,MAP,Pondicherry,0.00,0.00,,,
2014-2015,January,MOP,Pondicherry,0.00,66.00,,,
2014-2015,January,NPK,Pondicherry,0.00,605.60,,,
2014-2015,January,TSP,Pondicherry,0.00,0.00,,,
2014-2015,January,UREA,Pondicherry,0.00,2.00,,,
2014-2015,January,SSP,Pondicherry,0.00,0.00,,,
2014-2015,January,DAP,Punjab,0.00,1004.85,,,
2014-2015,January,MAP,Punjab,0.00,0.00,,,
2014-2015,January,MOP,Punjab,0.00,7941.00,,,
2014-2015,January,NPK,Punjab,0.00,223.60,,,
2014-2015,January,TSP,Punjab,0.00,3355.30,,,
2014-2015,January,UREA,Punjab,0.00,2331.10,,,
2014-2015,January,SSP,Punjab,0.00,0.00,,,
2014-2015,January,DAP,Rajasthan,0.00,1873.31,,,
2014-2015,January,MAP,Rajasthan,0.00,0.00,,,
2014-2015,January,MOP,Rajasthan,0.00,3549.90,,,
2014-2015,January,NPK,Rajasthan,0.00,1969.97,,,
2014-2015,January,TSP,Rajasthan,0.00,3526.25,,,
2014-2015,January,UREA,Rajasthan,0.00,1306.70,,,
2014-2015,January,SSP,Rajasthan,0.00,0.00,,,
2014-2015,January,DAP,Sikkim,0.00,0.00,,,
2014-2015,January,MAP,Sikkim,0.00,0.00,,,
2014-2015,January,MOP,Sikkim,0.00,0.00,,,
2014-2015,January,NPK,Sikkim,0.00,0.00,,,
2014-2015,January,TSP,Sikkim,0.00,0.00,,,
2014-2015,January,UREA,Sikkim,0.00,0.00,,,
2014-2015,January,SSP,Sikkim,0.00,0.00,,,
2014-2015,January,DAP,Tamil Nadu,0.00,12404.00,,,
2014-2015,January,MAP,Tamil Nadu,0.00,0.00,,,
2014-2015,January,MOP,Tamil Nadu,0.00,11921.50,,,
2014-2015,January,NPK,Tamil Nadu,0.00,35811.17,,,
2014-2015,January,TSP,Tamil Nadu,0.00,0.00,,,
2014-2015,January,UREA,Tamil Nadu,0.00,7770.62,,,
2014-2015,January,SSP,Tamil Nadu,0.00,0.00,,,
2014-2015,January,DAP,Tripura,0.00,3.55,,,
2014-2015,January,MAP,Tripura,0.00,0.00,,,
2014-2015,January,MOP,Tripura,0.00,0.00,,,
2014-2015,January,NPK,Tripura,0.00,5.65,,,
2014-2015,January,TSP,Tripura,0.00,0.00,,,
2014-2015,January,UREA,Tripura,0.00,2058.80,,,
2014-2015,January,SSP,Tripura,0.00,0.00,,,
2014-2015,January,DAP,Telangana,25000.00,5507.25,,,
2014-2015,January,MAP,Telangana,0.00,0.00,,,
2014-2015,January,MOP,Telangana,15000.00,14616.19,,,
2014-2015,January,NPK,Telangana,90000.00,40015.02,,,
2014-2015,January,TSP,Telangana,0.00,0.00,,,
2014-2015,January,UREA,Telangana,120000.00,9559.40,,,
2014-2015,January,SSP,Telangana,0.00,0.00,,,
2014-2015,January,DAP,Uttar Pradesh,100000,41712.29,,,
