Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,November,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,November,MOP,Chattishgarh,0.00,16932.65,,,
2014-2015,November,NPK,Chattishgarh,0.00,4963.70,,,
2014-2015,November,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,November,UREA,Chattishgarh,0.00,643.35,,,
2014-2015,November,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,November,DAP,Dadra & Nagar Haveli,0.00,17.00,,,
2014-2015,November,MAP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,MOP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,NPK,Dadra & Nagar Haveli,0.00,26.95,,,
2014-2015,November,TSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,UREA,Dadra & Nagar Haveli,0.00,37.00,,,
2014-2015,November,SSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,November,DAP,Daman & Diu,0.00,0.00,,,
2014-2015,November,MAP,Daman & Diu,0.00,0.00,,,
2014-2015,November,MOP,Daman & Diu,0.00,0.00,,,
2014-2015,November,NPK,Daman & Diu,0.00,0.00,,,
2014-2015,November,TSP,Daman & Diu,0.00,0.00,,,
2014-2015,November,UREA,Daman & Diu,0.00,0.00,,,
2014-2015,November,SSP,Daman & Diu,0.00,0.00,,,
2014-2015,November,DAP,Delhi,0.00,0.00,,,
2014-2015,November,MAP,Delhi,0.00,0.00,,,
2014-2015,November,MOP,Delhi,0.00,0.00,,,
2014-2015,November,NPK,Delhi,0.00,0.00,,,
2014-2015,November,TSP,Delhi,0.00,0.00,,,
2014-2015,November,UREA,Delhi,1500.00,0.00,,,
2014-2015,November,SSP,Delhi,0.00,0.00,,,
2014-2015,November,DAP,Goa,0.00,31.75,,,
2014-2015,November,MAP,Goa,0.00,0.00,,,
2014-2015,November,MOP,Goa,0.00,0.00,,,
2014-2015,November,NPK,Goa,0.00,9.30,,,
2014-2015,November,TSP,Goa,0.00,0.00,,,
2014-2015,November,UREA,Goa,0.00,8.50,,,
2014-2015,November,SSP,Goa,0.00,0.00,,,
2014-2015,November,DAP,Gujarat,0.00,12843.35,,,
2014-2015,November,MAP,Gujarat,0.00,0.00,,,
2014-2015,November,MOP,Gujarat,0.00,6749.00,,,
2014-2015,November,NPK,Gujarat,0.00,16553.63,,,
2014-2015,November,TSP,Gujarat,0.00,6313.85,,,
2014-2015,November,UREA,Gujarat,0.00,7198.71,,,
2014-2015,November,SSP,Gujarat,0.00,0.00,,,
2014-2015,November,DAP,Harayana,0.00,7255.65,,,
2014-2015,November,MAP,Harayana,0.00,0.00,,,
2014-2015,November,MOP,Harayana,0.00,8068.85,,,
2014-2015,November,NPK,Harayana,0.00,3965.60,,,
2014-2015,November,TSP,Harayana,0.00,0.00,,,
2014-2015,November,UREA,Harayana,0.00,5462.60,,,
2014-2015,November,SSP,Harayana,0.00,0.00,,,
2014-2015,November,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,NPK,Himachal Pradesh,0.00,155.40,,,
2014-2015,November,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Himachal Pradesh,0.00,25.25,,,
2014-2015,November,SSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Jammu & Kashmir,0.00,2770.60,,,
2014-2015,November,MAP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,MOP,Jammu & Kashmir,0.00,339.35,,,
2014-2015,November,NPK,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,TSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,UREA,Jammu & Kashmir,0.00,1387.20,,,
2014-2015,November,SSP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,November,DAP,Jharkhand,0.00,2136.75,,,
2014-2015,November,MAP,Jharkhand,0.00,0.00,,,
2014-2015,November,MOP,Jharkhand,0.00,4.50,,,
2014-2015,November,NPK,Jharkhand,0.00,1152.90,,,
2014-2015,November,TSP,Jharkhand,0.00,0.00,,,
2014-2015,November,UREA,Jharkhand,0.00,7956.60,,,
2014-2015,November,SSP,Jharkhand,0.00,0.00,,,
2014-2015,November,DAP,Karnataka,50000.00,4994.35,,,
2014-2015,November,MAP,Karnataka,0.00,0.00,,,
2014-2015,November,MOP,Karnataka,22000.00,20309.56,,,
2014-2015,November,NPK,Karnataka,105000.00,61839.39,,,
2014-2015,November,TSP,Karnataka,0.00,11905.40,,,
2014-2015,November,UREA,Karnataka,105000.00,4856.83,,,
