Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2015-2016,November,MOP,Andhra Pradesh,0.00,24624.70
2015-2016,November,NPK,Andhra Pradesh,0.00,66991.14
2015-2016,November,TSP,Andhra Pradesh,0.00,0.00
2015-2016,November,UREA,Andhra Pradesh,0.00,47038.95
2015-2016,November,SSP,Andhra Pradesh,0.00,0.00
2015-2016,November,DAP,Arunachal Pradesh,0.00,0.00
2015-2016,November,MAP,Arunachal Pradesh,0.00,0.00
2015-2016,November,MOP,Arunachal Pradesh,0.00,0.00
2015-2016,November,NPK,Arunachal Pradesh,0.00,0.00
2015-2016,November,TSP,Arunachal Pradesh,0.00,0.00
2015-2016,November,UREA,Arunachal Pradesh,0.00,0.00
2015-2016,November,SSP,Arunachal Pradesh,0.00,0.00
2015-2016,November,DAP,Assam,0.00,7414.05
2015-2016,November,MAP,Assam,0.00,0.00
2015-2016,November,MOP,Assam,0.00,11284.25
2015-2016,November,NPK,Assam,0.00,5969.25
2015-2016,November,TSP,Assam,0.00,0.00
2015-2016,November,UREA,Assam,0.00,292.75
2015-2016,November,SSP,Assam,0.00,0.00
2015-2016,November,DAP,Bihar,0.00,93445.85
2015-2016,November,MAP,Bihar,0.00,0.00
2015-2016,November,MOP,Bihar,0.00,36314.10
2015-2016,November,NPK,Bihar,0.00,72186.95
2015-2016,November,TSP,Bihar,0.00,7673.75
2015-2016,November,UREA,Bihar,0.00,18954.15
2015-2016,November,SSP,Bihar,0.00,0.00
2015-2016,November,DAP,Chandigarh,0.00,0.00
2015-2016,November,MAP,Chandigarh,0.00,0.00
2015-2016,November,MOP,Chandigarh,0.00,0.00
2015-2016,November,NPK,Chandigarh,0.00,0.00
2015-2016,November,TSP,Chandigarh,0.00,0.00
2015-2016,November,UREA,Chandigarh,0.00,0.00
2015-2016,November,SSP,Chandigarh,0.00,0.00
2015-2016,November,DAP,Chattishgarh,0.00,12488.51
2015-2016,November,MAP,Chattishgarh,0.00,0.00
2015-2016,November,MOP,Chattishgarh,0.00,18126.70
2015-2016,November,NPK,Chattishgarh,0.00,5444.13
2015-2016,November,TSP,Chattishgarh,0.00,3858.25
2015-2016,November,UREA,Chattishgarh,0.00,1228.05
2015-2016,November,SSP,Chattishgarh,0.00,0.00
2015-2016,November,DAP,Dadra & Nagar Haveli,0.00,10.55
2015-2016,November,MAP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,November,MOP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,November,NPK,Dadra & Nagar Haveli,0.00,0.00
2015-2016,November,TSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,November,UREA,Dadra & Nagar Haveli,0.00,2.50
2015-2016,November,SSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,November,DAP,Daman & Diu,0.00,0.00
2015-2016,November,MAP,Daman & Diu,0.00,0.00
2015-2016,November,MOP,Daman & Diu,0.00,0.00
2015-2016,November,NPK,Daman & Diu,0.00,0.00
2015-2016,November,TSP,Daman & Diu,0.00,0.00
2015-2016,November,UREA,Daman & Diu,0.00,0.00
2015-2016,November,SSP,Daman & Diu,0.00,0.00
2015-2016,November,DAP,Delhi,1300.00,0.00
2015-2016,November,MAP,Delhi,0.00,0.00
2015-2016,November,MOP,Delhi,400.00,0.00
2015-2016,November,NPK,Delhi,0.00,0.00
2015-2016,November,TSP,Delhi,0.00,0.00
2015-2016,November,UREA,Delhi,2000.00,0.00
2015-2016,November,SSP,Delhi,0.00,0.00
2015-2016,November,DAP,Goa,0.00,20.80
2015-2016,November,MAP,Goa,0.00,0.00
2015-2016,November,MOP,Goa,0.00,0.00
2015-2016,November,NPK,Goa,0.00,9.85
2015-2016,November,TSP,Goa,0.00,0.00
2015-2016,November,UREA,Goa,0.00,10.35
2015-2016,November,SSP,Goa,0.00,0.00
2015-2016,November,DAP,Gujarat,0.00,37670.38
2015-2016,November,MAP,Gujarat,0.00,0.00
2015-2016,November,MOP,Gujarat,0.00,6725.70
2015-2016,November,NPK,Gujarat,0.00,31949.63
2015-2016,November,TSP,Gujarat,0.00,6313.85
2015-2016,November,UREA,Gujarat,0.00,77210.89
2015-2016,November,SSP,Gujarat,0.00,0.00
2015-2016,November,DAP,Harayana,0.00,50067.38
2015-2016,November,MAP,Harayana,0.00,0.00
2015-2016,November,MOP,Harayana,0.00,16105.20
2015-2016,November,NPK,Harayana,0.00,4821.30
2015-2016,November,TSP,Harayana,0.00,0.00
2015-2016,November,UREA,Harayana,0.00,16150.25
2015-2016,November,SSP,Harayana,0.00,0.00
2015-2016,November,DAP,Himachal Pradesh,0.00,0.00
2015-2016,November,MAP,Himachal Pradesh,0.00,0.00
2015-2016,November,MOP,Himachal Pradesh,0.00,2561.40
2015-2016,November,NPK,Himachal Pradesh,0.00,1459.60
2015-2016,November,TSP,Himachal Pradesh,0.00,0.00
2015-2016,November,UREA,Himachal Pradesh,0.00,1420.80
2015-2016,November,SSP,Himachal Pradesh,0.00,0.00
2015-2016,November,DAP,Jammu & Kashmir,0.00,6143.35
2015-2016,November,MAP,Jammu & Kashmir,0.00,0.00
2015-2016,November,MOP,Jammu & Kashmir,0.00,3774.05
2015-2016,November,NPK,Jammu & Kashmir,0.00,362.50
2015-2016,November,TSP,Jammu & Kashmir,0.00,0.00
2015-2016,November,UREA,Jammu & Kashmir,0.00,430.45
2015-2016,November,SSP,Jammu & Kashmir,0.00,0.00
2015-2016,November,DAP,Jharkhand,0.00,10695.50
2015-2016,November,MAP,Jharkhand,0.00,0.00
2015-2016,November,MOP,Jharkhand,0.00,110.20
2015-2016,November,NPK,Jharkhand,0.00,7165.95
2015-2016,November,TSP,Jharkhand,0.00,0.00
2015-2016,November,UREA,Jharkhand,0.00,7787.05
2015-2016,November,SSP,Jharkhand,0.00,0.00
2015-2016,November,DAP,Karnataka,50000.00,48511.73
2015-2016,November,MAP,Karnataka,0.00,0.00
2015-2016,November,MOP,Karnataka,25000.00,50141.30
2015-2016,November,NPK,Karnataka,105000.00,165524.80
2015-2016,November,TSP,Karnataka,0.00,11884.85
2015-2016,November,UREA,Karnataka,90000.00,45342.21
2015-2016,November,SSP,Karnataka,7650.00,0.00
2015-2016,November,DAP,Kerala,0.00,3438.15
2015-2016,November,MAP,Kerala,0.00,0.00
2015-2016,November,MOP,Kerala,0.00,5731.97
2015-2016,November,NPK,Kerala,0.00,12646.46
2015-2016,November,TSP,Kerala,0.00,3156.75
2015-2016,November,UREA,Kerala,0.00,1529.30
2015-2016,November,SSP,Kerala,0.00,0.00
2015-2016,November,DAP,Lakshadweep,0.00,0.00
2015-2016,November,MAP,Lakshadweep,0.00,0.00
2015-2016,November,MOP,Lakshadweep,0.00,0.00
2015-2016,November,NPK,Lakshadweep,0.00,0.00
2015-2016,November,TSP,Lakshadweep,0.00,0.00
2015-2016,November,UREA,Lakshadweep,0.00,0.00
2015-2016,November,SSP,Lakshadweep,0.00,0.00
2015-2016,November,DAP,Madhya Pradesh,0.00,154024.06
2015-2016,November,MAP,Madhya Pradesh,0.00,0.00
2015-2016,November,MOP,Madhya Pradesh,0.00,40216.55
2015-2016,November,NPK,Madhya Pradesh,0.00,45981.30
2015-2016,November,TSP,Madhya Pradesh,0.00,8443.85
2015-2016,November,UREA,Madhya Pradesh,0.00,43923.25
2015-2016,November,SSP,Madhya Pradesh,0.00,0.00
2015-2016,November,DAP,Maharastra,58330.00,61730.08
2015-2016,November,MAP,Maharastra,0.00,0.00
2015-2016,November,MOP,Maharastra,33330.00,82528.05
2015-2016,November,NPK,Maharastra,166667.00,262370.07
2015-2016,November,TSP,Maharastra,0.00,0.00
2015-2016,November,UREA,Maharastra,191667.00,83403.25
2015-2016,November,SSP,Maharastra,0.00,0.00
2015-2016,November,DAP,Manipur,0.00,0.00
2015-2016,November,MAP,Manipur,0.00,0.00
2015-2016,November,MOP,Manipur,0.00,0.00
2015-2016,November,NPK,Manipur,0.00,0.00
2015-2016,November,TSP,Manipur,0.00,0.00
2015-2016,November,UREA,Manipur,0.00,0.00
2015-2016,November,SSP,Manipur,0.00,0.00
2015-2016,November,DAP,Megalaya,0.00,0.00
2015-2016,November,MAP,Megalaya,0.00,0.00
2015-2016,November,MOP,Megalaya,0.00,0.00
2015-2016,November,NPK,Megalaya,0.00,0.00
2015-2016,November,TSP,Megalaya,0.00,0.00
2015-2016,November,UREA,Megalaya,0.00,0.00
2015-2016,November,SSP,Megalaya,0.00,0.00
2015-2016,November,DAP,Mizoram,0.00,0.00
2015-2016,November,MAP,Mizoram,0.00,0.00
2015-2016,November,MOP,Mizoram,0.00,0.00
2015-2016,November,NPK,Mizoram,0.00,0.00
2015-2016,November,TSP,Mizoram,0.00,0.00
2015-2016,November,UREA,Mizoram,0.00,0.00
2015-2016,November,SSP,Mizoram,0.00,0.00
2015-2016,November,DAP,Nagaland,0.00,0.00
2015-2016,November,MAP,Nagaland,0.00,0.00
2015-2016,November,MOP,Nagaland,0.00,0.00
2015-2016,November,NPK,Nagaland,0.00,0.00
2015-2016,November,TSP,Nagaland,0.00,0.00
2015-2016,November,UREA,Nagaland,0.00,0.00
2015-2016,November,SSP,Nagaland,0.00,0.00
2015-2016,November,DAP,Orissa,0.00,8108.34
2015-2016,November,MAP,Orissa,0.00,0.00
2015-2016,November,MOP,Orissa,0.00,12958.70
2015-2016,November,NPK,Orissa,0.00,20042.22
2015-2016,November,TSP,Orissa,0.00,0.00
2015-2016,November,UREA,Orissa,0.00,15802.00
2015-2016,November,SSP,Orissa,0.00,0.00
2015-2016,November,DAP,Pondicherry,0.00,11.00
2015-2016,November,MAP,Pondicherry,0.00,0.00
2015-2016,November,MOP,Pondicherry,0.00,0.00
2015-2016,November,NPK,Pondicherry,0.00,173.00
2015-2016,November,TSP,Pondicherry,0.00,0.00
2015-2016,November,UREA,Pondicherry,0.00,0.00
2015-2016,November,SSP,Pondicherry,0.00,0.00
2015-2016,November,SSP,Pondicherry,0.00,0.00
2015-2016,November,DAP,Punjab,0.00,67791.50
2015-2016,November,MAP,Punjab,0.00,0.00
2015-2016,November,MOP,Punjab,0.00,21239.75
2015-2016,November,NPK,Punjab,0.00,1209.82
2015-2016,November,TSP,Punjab,0.00,3355.30
2015-2016,November,UREA,Punjab,0.00,11253.25
2015-2016,November,SSP,Punjab,0.00,
2015-2016,November,DAP,Rajasthan,0.00,48229.87
2015-2016,November,MAP,Rajasthan,0.00,0.00
2015-2016,November,MOP,Rajasthan,0.00,3556.38
2015-2016,November,NPK,Rajasthan,0.00,8680.25
2015-2016,November,TSP,Rajasthan,0.00,3526.25
2015-2016,November,UREA,Rajasthan,0.00,2637.30
2015-2016,November,SSP,Rajasthan,0.00,0.00
2015-2016,November,DAP,Sikkim,0.00,0.00
2015-2016,November,MAP,Sikkim,0.00,0.00
2015-2016,November,MOP,Sikkim,0.00,0.00
2015-2016,November,NPK,Sikkim,0.00,0.00
2015-2016,November,TSP,Sikkim,0.00,0.00
2015-2016,November,UREA,Sikkim,0.00,0.00
2015-2016,November,SSP,Sikkim,0.00,0.00
2015-2016,November,DAP,Tamil Nadu,0.00,23018.10
2015-2016,November,MAP,Tamil Nadu,0.00,0.00
2015-2016,November,MOP,Tamil Nadu,0.00,14536.70
2015-2016,November,NPK,Tamil Nadu,0.00,32503.77
2015-2016,November,TSP,Tamil Nadu,0.00,0.00
2015-2016,November,UREA,Tamil Nadu,0.00,1809.70
2015-2016,November,SSP,Tamil Nadu,0.00,0.00
2015-2016,November,DAP,Tripura,0.00,111.70
2015-2016,November,MAP,Tripura,0.00,0.00
2015-2016,November,MOP,Tripura,0.00,0.00
2015-2016,November,NPK,Tripura,0.00,257.45
2015-2016,November,TSP,Tripura,0.00,0.00
2015-2016,November,UREA,Tripura,0.00,2621.80
2015-2016,November,SSP,Tripura,0.00,0.00
2015-2016,November,DAP,Telangana,15000.00,14727.35
2015-2016,November,MAP,Telangana,0.00,0.00
2015-2016,November,MOP,Telangana,10000.00,21207.60
2015-2016,November,NPK,Telangana,40000.00,70771.84
2015-2016,November,TSP,Telangana,0.00,0.00
2015-2016,November,UREA,Telangana,70000.00,19900.58
2015-2016,November,SSP,Telangana,6500.00,0.00
2015-2016,November,DAP,Uttar Pradesh,400000.00,343904.53
2015-2016,November,MAP,Uttar Pradesh,0.00,0.00
2015-2016,November,MOP,Uttar Pradesh,25000.00,54399.70
2015-2016,November,NPK,Uttar Pradesh,100000.00,108151.70
2015-2016,November,TSP,Uttar Pradesh,0.00,16125.25
2015-2016,November,UREA,Uttar Pradesh,700000.00,257029.65
2015-2016,November,SSP,Uttar Pradesh,0.00,0.00
2015-2016,November,DAP,Uttaranchal,0.00,4336.60
2015-2016,November,MAP,Uttaranchal,0.00,0.00
2015-2016,November,MOP,Uttaranchal,0.00,305.30
2015-2016,November,NPK,Uttaranchal,0.00,3521.95
2015-2016,November,TSP,Uttaranchal,0.00,0.00
2015-2016,November,UREA,Uttaranchal,0.00,13461.54
2015-2016,November,SSP,Uttaranchal,0.00,0.00
2015-2016,November,DAP,West Bengal,0.00,33378.71
2015-2016,November,MAP,West Bengal,0.00,0.00
2015-2016,November,MOP,West Bengal,0.00,43051.35
2015-2016,November,NPK,West Bengal,0.00,176225.41
2015-2016,November,TSP,West Bengal,0.00,7368.29
2015-2016,November,UREA,West Bengal,0.00,26517.78
2015-2016,November,SSP,West Bengal,0.00,0.00
