Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2015-2016,September,SSP,Jharkhand,0.00,0.00
2015-2016,September,DAP,Karnataka,40000.00,48985.77
2015-2016,September,MAP,Karnataka,0.00,0.00
2015-2016,September,MOP,Karnataka,25000.00,51257.55
2015-2016,September,NPK,Karnataka,118900.00,133576.53
2015-2016,September,TSP,Karnataka,0.00,11884.85
2015-2016,September,UREA,Karnataka,170000.00,10301.03
2015-2016,September,SSP,Karnataka,20000.00,0.00
2015-2016,September,DAP,Kerala,0.00,2981.95
2015-2016,September,MAP,Kerala,0.00,0.00
2015-2016,September,MOP,Kerala,0.00,5321.46
2015-2016,September,NPK,Kerala,0.00,13799.27
2015-2016,September,TSP,Kerala,0.00,3156.75
2015-2016,September,UREA,Kerala,0.00,1383.70
2015-2016,September,SSP,Kerala,0.00,0.00
2015-2016,September,DAP,Lakshadweep,0.00,0.00
2015-2016,September,MAP,Lakshadweep,0.00,0.00
2015-2016,September,MOP,Lakshadweep,0.00,0.00
2015-2016,September,NPK,Lakshadweep,0.00,0.00
2015-2016,September,TSP,Lakshadweep,0.00,0.00
2015-2016,September,UREA,Lakshadweep,0.00,0.00
2015-2016,September,SSP,Lakshadweep,0.00,0.00
2015-2016,September,DAP,Madhya Pradesh,0.00,117605.96
2015-2016,September,MAP,Madhya Pradesh,0.00,0.00
2015-2016,September,MOP,Madhya Pradesh,0.00,30052.45
2015-2016,September,NPK,Madhya Pradesh,0.00,31341.15
2015-2016,September,TSP,Madhya Pradesh,0.00,8443.85
2015-2016,September,UREA,Madhya Pradesh,0.00,23910.30
2015-2016,September,SSP,Madhya Pradesh,0.00,0.00
2015-2016,September,DAP,Maharastra,0.00,53976.57
2015-2016,September,MAP,Maharastra,0.00,0.00
2015-2016,September,MOP,Maharastra,0.00,65504.50
2015-2016,September,NPK,Maharastra,0.00,220107.65
2015-2016,September,TSP,Maharastra,0.00,0.00
2015-2016,September,UREA,Maharastra,0.00,23087.95
2015-2016,September,SSP,Maharastra,0.00,0.00
2015-2016,September,DAP,Manipur,0.00,0.00
2015-2016,September,MAP,Manipur,0.00,0.00
2015-2016,September,MOP,Manipur,0.00,0.00
2015-2016,September,NPK,Manipur,0.00,0.00
2015-2016,September,TSP,Manipur,0.00,0.00
2015-2016,September,UREA,Manipur,0.00,0.00
2015-2016,September,SSP,Manipur,0.00,0.00
2015-2016,September,DAP,Megalaya,0.00,0.00
2015-2016,September,MAP,Megalaya,0.00,0.00
2015-2016,September,MOP,Megalaya,0.00,0.00
2015-2016,September,NPK,Megalaya,0.00,0.00
2015-2016,September,TSP,Megalaya,0.00,0.00
2015-2016,September,UREA,Megalaya,0.00,0.00
2015-2016,September,SSP,Megalaya,0.00,0.00
