Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,August,NPK,Madhya Pradesh,0.00,16314.10,,,
2014-2015,August,TSP,Madhya Pradesh,0.00,8443.85,,,
2014-2015,August,UREA,Madhya Pradesh,0.00,15273.55,,,
2014-2015,August,SSP,Madhya Pradesh,0.00,0.00,,,
2014-2015,August,DAP,Maharastra,0.00,20093.72,,,
2014-2015,August,MAP,Maharastra,0.00,0.00,,,
2014-2015,August,MOP,Maharastra,0.00,46182.82,,,
2014-2015,August,NPK,Maharastra,0.00,70905.54,,,
2014-2015,August,TSP,Maharastra,0.00,0.00,,,
2014-2015,August,UREA,Maharastra,0.00,20888.19,,,
2014-2015,August,SSP,Maharastra,0.00,0.00,,,
2014-2015,August,DAP,Manipur,0.00,0.00,,,
2014-2015,August,MAP,Manipur,0.00,0.00,,,
2014-2015,August,MOP,Manipur,0.00,0.00,,,
2014-2015,August,NPK,Manipur,0.00,0.00,,,
2014-2015,August,TSP,Manipur,0.00,0.00,,,
2014-2015,August,UREA,Manipur,0.00,0.00,,,
2014-2015,August,SSP,Manipur,0.00,0.00,,,
2014-2015,August,DAP,Megalaya,0.00,150.00,,,
2014-2015,August,MAP,Megalaya,0.00,0.00,,,
2014-2015,August,MOP,Megalaya,0.00,0.00,,,
2014-2015,August,NPK,Megalaya,0.00,100.00,,,
2014-2015,August,TSP,Megalaya,0.00,0.00,,,
2014-2015,August,UREA,Megalaya,0.00,259.00,,,
2014-2015,August,SSP,Megalaya,0.00,0.00,,,
2014-2015,August,DAP,Mizoram,0.00,0.00,,,
2014-2015,August,MAP,Mizoram,0.00,0.00,,,
2014-2015,August,MOP,Mizoram,0.00,0.00,,,
2014-2015,August,NPK,Mizoram,0.00,0.00,,,
2014-2015,August,TSP,Mizoram,0.00,0.00,,,
2014-2015,August,UREA,Mizoram,0.00,0.00,,,
2014-2015,August,SSP,Mizoram,0.00,0.00,,,
2014-2015,August,DAP,Nagaland,0.00,0.00,,,
2014-2015,August,MAP,Nagaland,0.00,0.00,,,
2014-2015,August,MOP,Nagaland,0.00,0.00,,,
2014-2015,August,NPK,Nagaland,0.00,0.00,,,
2014-2015,August,TSP,Nagaland,0.00,0.00,,,
2014-2015,August,UREA,Nagaland,0.00,0.00,,,
2014-2015,August,SSP,Nagaland,0.00,0.00,,,
2014-2015,August,DAP,Orissa,0.00,17328.25,,,
2014-2015,August,MAP,Orissa,0.00,0.00,,,
2014-2015,August,MOP,Orissa,0.00,6265.05,,,
2014-2015,August,NPK,Orissa,0.00,21374.20,,,
2014-2015,August,TSP,Orissa,0.00,0.00,,,
2014-2015,August,UREA,Orissa,0.00,11710.10,,,
2014-2015,August,SSP,Orissa,0.00,0.00,,,
2014-2015,August,DAP,Pondicherry,0.00,0.00,,,
2014-2015,August,MAP,Pondicherry,0.00,0.00,,,
2014-2015,August,MOP,Pondicherry,0.00,64.00,,,
2014-2015,August,NPK,Pondicherry,0.00,18.00,,,
2014-2015,August,TSP,Pondicherry,0.00,0.00,,,
2014-2015,August,UREA,Pondicherry,0.00,0.85,,,
2014-2015,August,SSP,Pondicherry,0.00,0.00,,,
2014-2015,August,DAP,Punjab,0.00,21201.05,,,
2014-2015,August,MAP,Punjab,0.00,0.00,,,
2014-2015,August,MOP,Punjab,0.00,6929.30,,,
2014-2015,August,NPK,Punjab,0.00,408.90,,,
2014-2015,August,TSP,Punjab,0.00,3355.30,,,
2014-2015,August,UREA,Punjab,0.00,5743.65,,,
2014-2015,August,SSP,Punjab,0.00,0.00,,,
2014-2015,August,DAP,Rajasthan,0.00,9215.75,,,
2014-2015,August,MAP,Rajasthan,0.00,0.00,,,
2014-2015,August,MOP,Rajasthan,0.00,2409.65,,,
2014-2015,August,NPK,Rajasthan,0.00,1028.25,,,
2014-2015,August,TSP,Rajasthan,0.00,3526.25,,,
2014-2015,August,UREA,Rajasthan,0.00,5762.72,,,
2014-2015,August,SSP,Rajasthan,0.00,0.00,,,
2014-2015,August,DAP,Sikkim,0.00,0.00,,,
2014-2015,August,MAP,Sikkim,0.00,0.00,,,
2014-2015,August,MOP,Sikkim,0.00,0.00,,,
2014-2015,August,NPK,Sikkim,0.00,0.00,,,
2014-2015,August,TSP,Sikkim,0.00,0.00,,,
2014-2015,August,UREA,Sikkim,0.00,0.00,,,
2014-2015,August,SSP,Sikkim,0.00,0.00,,,
2014-2015,August,DAP,Tamil Nadu,0.00,11625.70,,,
2014-2015,August,MAP,Tamil Nadu,0.00,0.00,,,
2014-2015,August,MOP,Tamil Nadu,0.00,6341.15,,,
2014-2015,August,NPK,Tamil Nadu,0.00,27803.77,,,
2014-2015,August,TSP,Tamil Nadu,0.00,0.00,,,
2014-2015,August,UREA,Tamil Nadu,0.00,2505.55,,,
2014-2015,August,SSP,Tamil Nadu,0.00,0.00,,,
2014-2015,August,DAP,Tripura,0.00,8.55,,,
2014-2015,August,MAP,Tripura,0.00,0.00,,,
2014-2015,August,MOP,Tripura,0.00,-8.20,,,
2014-2015,August,NPK,Tripura,0.00,11.90,,,
2014-2015,August,TSP,Tripura,0.00,0.00,,,
2014-2015,August,UREA,Tripura,0.00,1263.50,,,
2014-2015,August,SSP,Tripura,0.00,0.00,,,
2014-2015,August,DAP,Telangana,0.00,6604.95,,,
2014-2015,August,MAP,Telangana,0.00,0.00,,,
2014-2015,August,MOP,Telangana,0.00,16459.35,,,
2014-2015,August,NPK,Telangana,0.00,40992.27,,,
2014-2015,August,TSP,Telangana,0.00,0.00,,,
2014-2015,August,UREA,Telangana,0.00,11734.65,,,
2014-2015,August,SSP,Telangana,0.00,0.00,,,
2014-2015,August,DAP,Uttar Pradesh,0.00,174770.70,,,
2014-2015,August,MAP,Uttar Pradesh,0.00,0.00,  ,,
2014-2015,August,MOP,Uttar Pradesh,0.00,9257.90,,, 
2014-2015,August,NPK,Uttar Pradesh,0.00,39428.20,,,
2014-2015,August,TSP,Uttar Pradesh,0.00,16125.25,,,
2014-2015,August,UREA,Uttar Pradesh,0.00,48805.80,,,
2014-2015,August,DAP,Uttaranchal,0.00,679.00,,,
2014-2015,August,MAP,Uttaranchal,0.00,0.00,,,
2014-2015,August,MOP,Uttaranchal,0.00,100.00,,,
2014-2015,August,NPK,Uttaranchal,0.00,7063.20,,,
2014-2015,August,TSP,Uttaranchal,0.00,0.00,,,
2014-2015,August,UREA,Uttaranchal,0.00,1230.70,,,
2014-2015,August,SSP,Uttaranchal,0.00,0.00,,,
2014-2015,August,DAP,West Bengal,34400.00,17012.40,,,
2014-2015,August,MAP,West Bengal,0.00,0.00,,,
2014-2015,August,MOP,West Bengal,21800.00,25279.10,,,
2014-2015,August,NPK,West Bengal,83100.00,64865.20,,,
2014-2015,August,TSP,West Bengal,0.00,7377.55,,,
2014-2015,August,UREA,West Bengal,118800.00,30531.69,,,
2014-2015,August,SSP,West Bengal,44800.00,0.00,,,
2014-2015,September,DAP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,MAP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,MOP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,NPK,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,TSP,Andaman and Nicobar,0.00,0.00,,,
